ctry,area_code,income,employ,original_imd_score,original_imd_quintile,uk_imd_england_score,uk_imd_england_quintile,uk_imd_ni_score,uk_imd_ni_quintile,uk_imd_scotland_score,uk_imd_scotland_quintile,uk_imd_wales_score,uk_imd_wales_quintile
England,E01000001,1.1,1.5,6.1,1 - least deprived,6.1,1 - least deprived,-1.2,1 - least deprived,4.4,1 - least deprived,1.8,1 - least deprived
England,E01000002,1.2,1.7,6.3,1 - least deprived,6.3,1 - least deprived,-1,1 - least deprived,4.6,1 - least deprived,2,1 - least deprived
England,E01000003,10.5,8.8,19.5,3,19.5,3,10.7,3,18.3,3,15.5,3
England,E01000005,21.7,14.4,26,4,26,4,16.5,4,25.9,4,22.5,4
England,E01000006,13.3,9.4,22.6,4,22.6,4,13,3,21.1,3,18.7,4
England,E01000007,30,20.2,42.5,5 - most deprived,42.5,5 - most deprived,30.3,5 - most deprived,41.8,5 - most deprived,39.2,5 - most deprived
England,E01000008,29,17,38.3,5 - most deprived,38.3,5 - most deprived,26.3,5 - most deprived,37.4,5 - most deprived,35.1,5 - most deprived
England,E01000009,21.9,13.4,33.4,4,33.4,4,21.9,4,31.8,4,29.9,4
England,E01000010,19.7,7.8,30.9,4,30.9,4,18.6,4,27.9,4,27.4,4
England,E01000011,20.3,10.2,30.1,4,30.1,4,18.6,4,28,4,26.5,4
England,E01000012,26.3,12.4,36.9,5 - most deprived,36.9,5 - most deprived,24.1,5 - most deprived,34.6,5 - most deprived,33.6,5 - most deprived
England,E01000013,25,18.7,40.3,5 - most deprived,40.3,5 - most deprived,28.5,5 - most deprived,39.3,5 - most deprived,36.8,5 - most deprived
England,E01000014,24.2,16.5,38.4,5 - most deprived,38.4,5 - most deprived,26.5,5 - most deprived,37,5 - most deprived,34.8,5 - most deprived
England,E01000015,29.4,17.7,39.1,5 - most deprived,39.1,5 - most deprived,27.1,5 - most deprived,38.2,5 - most deprived,35.9,5 - most deprived
England,E01000016,25.6,17.1,34.2,5 - most deprived,34.2,4,23.4,4,33.8,4,30.8,4
England,E01000017,29.2,21,40.6,5 - most deprived,40.6,5 - most deprived,29.1,5 - most deprived,40.4,5 - most deprived,37.2,5 - most deprived
England,E01000018,28.3,17.2,36.4,5 - most deprived,36.4,5 - most deprived,24.9,5 - most deprived,35.8,5 - most deprived,33.1,5 - most deprived
England,E01000019,26.9,18.6,34.6,5 - most deprived,34.6,5 - most deprived,24,5 - most deprived,34.6,5 - most deprived,31.3,5 - most deprived
England,E01000020,24,16.3,32.9,4,32.9,4,22.2,4,32.4,4,29.4,4
England,E01000021,28.4,18.1,40.8,5 - most deprived,40.8,5 - most deprived,28.5,5 - most deprived,39.7,5 - most deprived,37.5,5 - most deprived
England,E01000022,22,17.3,31.6,4,31.6,4,21.6,4,31.5,4,28,4
England,E01000023,29.7,13.5,38.6,5 - most deprived,38.6,5 - most deprived,25.5,5 - most deprived,36.5,5 - most deprived,35.4,5 - most deprived
England,E01000024,22.7,14.8,30.9,4,30.9,4,20.4,4,30.2,4,27.4,4
England,E01000025,25.6,17.8,36,5 - most deprived,36,5 - most deprived,24.9,5 - most deprived,35.5,5 - most deprived,32.5,5 - most deprived
England,E01000027,29.5,17.8,42,5 - most deprived,42,5 - most deprived,29.3,5 - most deprived,40.7,5 - most deprived,38.7,5 - most deprived
England,E01000028,32.4,21.4,43.1,5 - most deprived,43.1,5 - most deprived,31,5 - most deprived,42.8,5 - most deprived,39.9,5 - most deprived
England,E01000029,13.9,11,26.7,4,26.7,4,16.5,4,25,4,22.7,4
England,E01000030,31.4,18.1,41.3,5 - most deprived,41.3,5 - most deprived,28.7,5 - most deprived,40.3,5 - most deprived,38.1,5 - most deprived
England,E01000031,14.3,12.1,25.1,4,25.1,4,15.6,4,24.1,4,21.2,4
England,E01000032,17.5,13.7,30.4,4,30.4,4,19.9,4,29.1,4,26.6,4
England,E01000033,29.7,21.5,41.4,5 - most deprived,41.4,5 - most deprived,29.8,5 - most deprived,41.3,5 - most deprived,38,5 - most deprived
England,E01000034,27.4,17.2,37,5 - most deprived,37,5 - most deprived,25.4,5 - most deprived,36.2,5 - most deprived,33.6,5 - most deprived
England,E01000035,19.1,12.8,27,4,27,4,17,4,26.1,4,23.3,4
England,E01000036,14.2,9.9,20.9,3,20.9,3,11.8,3,20,3,17.1,3
England,E01000037,14.7,15.3,20.1,3,20.1,3,12.6,3,20.9,3,16.2,3
England,E01000038,14.3,12.1,19.1,3,19.1,3,11,3,19.1,3,15.3,3
England,E01000039,15.6,10.6,23.5,4,23.5,4,13.9,4,22.4,4,19.7,4
England,E01000040,26.6,18.9,34.7,5 - most deprived,34.7,5 - most deprived,24.2,5 - most deprived,34.8,5 - most deprived,31.3,5 - most deprived
England,E01000041,21.3,15.2,34.7,5 - most deprived,34.7,5 - most deprived,23.5,4,33.4,4,31.1,5 - most deprived
England,E01000042,33.8,23.4,43.9,5 - most deprived,43.9,5 - most deprived,32.1,5 - most deprived,44.2,5 - most deprived,40.8,5 - most deprived
England,E01000043,23.7,15.3,33.7,4,33.7,4,22.6,4,32.7,4,30.3,4
England,E01000044,19.5,11.4,31.1,4,31.1,4,19.7,4,29.1,4,27.4,4
England,E01000045,26.7,15.4,37.9,5 - most deprived,37.9,5 - most deprived,25.7,5 - most deprived,36.4,5 - most deprived,34.5,5 - most deprived
England,E01000046,23.2,15.1,31.1,4,31.1,4,20.5,4,30.4,4,27.6,4
England,E01000048,38,24.5,49.3,5 - most deprived,49.3,5 - most deprived,36.3,5 - most deprived,49.2,5 - most deprived,46.3,5 - most deprived
England,E01000049,30.4,17.2,41.4,5 - most deprived,41.4,5 - most deprived,28.6,5 - most deprived,40,5 - most deprived,38.2,5 - most deprived
England,E01000050,21.1,14,35.7,5 - most deprived,35.7,5 - most deprived,23.9,5 - most deprived,33.9,4,32.1,5 - most deprived
England,E01000051,32.7,19.6,42.7,5 - most deprived,42.7,5 - most deprived,30.2,5 - most deprived,42,5 - most deprived,39.6,5 - most deprived
England,E01000052,22.3,13.3,31.6,4,31.6,4,20.5,4,30.3,4,28.1,4
England,E01000053,28.3,17.7,42.1,5 - most deprived,42.1,5 - most deprived,29.4,5 - most deprived,40.6,5 - most deprived,38.7,5 - most deprived
England,E01000054,23.2,13.8,32.8,4,32.8,4,21.5,4,31.5,4,29.3,4
England,E01000055,22.9,15.5,32.6,4,32.6,4,21.8,4,31.8,4,29.1,4
England,E01000056,28.3,19.1,42.4,5 - most deprived,42.4,5 - most deprived,30,5 - most deprived,41.3,5 - most deprived,39,5 - most deprived
England,E01000057,26.8,18.8,40.2,5 - most deprived,40.2,5 - most deprived,28.3,5 - most deprived,39.3,5 - most deprived,36.7,5 - most deprived
England,E01000058,23.7,15.7,31.6,4,31.6,4,21.1,4,31.1,4,28.1,4
England,E01000059,26.7,19.3,38.3,5 - most deprived,38.3,5 - most deprived,27,5 - most deprived,37.9,5 - most deprived,34.8,5 - most deprived
England,E01000060,28,18.7,40.9,5 - most deprived,40.9,5 - most deprived,28.8,5 - most deprived,39.9,5 - most deprived,37.5,5 - most deprived
England,E01000061,41.4,25.3,56.6,5 - most deprived,56.6,5 - most deprived,41.9,5 - most deprived,55.6,5 - most deprived,53.7,5 - most deprived
England,E01000062,21.7,13.4,31.3,4,31.3,4,20.3,4,30,4,27.7,4
England,E01000063,24.1,17,34.8,5 - most deprived,34.8,5 - most deprived,23.9,5 - most deprived,34.1,5 - most deprived,31.3,5 - most deprived
England,E01000064,24.4,16.4,35.2,5 - most deprived,35.2,5 - most deprived,24,5 - most deprived,34.3,5 - most deprived,31.7,5 - most deprived
England,E01000065,26.6,19.5,39.7,5 - most deprived,39.7,5 - most deprived,28.1,5 - most deprived,39.1,5 - most deprived,36.2,5 - most deprived
England,E01000066,15.4,12.5,24.2,4,24.2,4,15,4,23.5,4,20.4,4
England,E01000067,16.3,9.7,21,3,21,3,11.7,3,20.1,3,17.3,3
England,E01000068,15.9,10.1,26,4,26,4,15.7,4,24.3,4,22.2,4
England,E01000069,10.4,8.7,15.8,3,15.8,3,7.7,3,15.1,3,11.8,3
England,E01000070,13.5,10.3,20.9,3,20.9,3,12,3,20.1,3,17.1,3
England,E01000071,14.9,7.4,18.3,3,18.3,3,9.1,3,17.1,3,14.6,3
England,E01000072,27.6,17.6,44.3,5 - most deprived,44.3,5 - most deprived,31.1,5 - most deprived,42.4,5 - most deprived,40.9,5 - most deprived
England,E01000073,25.6,17.1,39.5,5 - most deprived,39.5,5 - most deprived,27.4,5 - most deprived,38.2,5 - most deprived,36,5 - most deprived
England,E01000074,26,15.7,35.3,5 - most deprived,35.3,5 - most deprived,23.8,5 - most deprived,34.3,5 - most deprived,31.9,5 - most deprived
England,E01000075,23.7,15.5,38.6,5 - most deprived,38.6,5 - most deprived,26.4,5 - most deprived,36.8,5 - most deprived,35,5 - most deprived
England,E01000076,25.2,19.9,39,5 - most deprived,39,5 - most deprived,27.9,5 - most deprived,38.6,5 - most deprived,35.5,5 - most deprived
England,E01000077,26,18.2,36.7,5 - most deprived,36.7,5 - most deprived,25.5,5 - most deprived,36.2,5 - most deprived,33.2,5 - most deprived
England,E01000078,28.7,15.1,37,5 - most deprived,37,5 - most deprived,24.8,5 - most deprived,35.7,5 - most deprived,33.8,5 - most deprived
England,E01000079,25.3,17.4,37.5,5 - most deprived,37.5,5 - most deprived,26,5 - most deprived,36.6,5 - most deprived,34,5 - most deprived
England,E01000080,24,18.5,34.1,5 - most deprived,34.1,4,23.7,4,34,5 - most deprived,30.5,4
England,E01000081,19.7,15.3,31.7,4,31.7,4,21.3,4,30.9,4,28,4
England,E01000082,22.5,16.6,32.1,4,32.1,4,21.8,4,31.7,4,28.6,4
England,E01000083,29.6,17.5,38.2,5 - most deprived,38.2,5 - most deprived,26.3,5 - most deprived,37.4,5 - most deprived,34.9,5 - most deprived
England,E01000084,28.4,17.5,41.8,5 - most deprived,41.8,5 - most deprived,29.1,5 - most deprived,40.3,5 - most deprived,38.5,5 - most deprived
England,E01000085,24.8,18,38.8,5 - most deprived,38.8,5 - most deprived,27.2,5 - most deprived,37.8,5 - most deprived,35.3,5 - most deprived
England,E01000086,24.9,17,37.9,5 - most deprived,37.9,5 - most deprived,26.2,5 - most deprived,36.8,5 - most deprived,34.4,5 - most deprived
England,E01000087,24.8,16.3,34.4,5 - most deprived,34.4,4,23.3,4,33.6,4,30.9,5 - most deprived
England,E01000088,19.6,13.8,30.2,4,30.2,4,19.7,4,29.1,4,26.5,4
England,E01000089,21.1,13.3,29.6,4,29.6,4,19,4,28.5,4,26,4
England,E01000090,21.8,13.3,30.7,4,30.7,4,19.8,4,29.5,4,27.1,4
England,E01000091,33,21.8,44.1,5 - most deprived,44.1,5 - most deprived,31.8,5 - most deprived,43.8,5 - most deprived,40.9,5 - most deprived
England,E01000092,22.7,14.7,32.7,4,32.7,4,21.7,4,31.6,4,29.2,4
England,E01000093,30.4,22.4,45.2,5 - most deprived,45.2,5 - most deprived,33,5 - most deprived,44.7,5 - most deprived,41.8,5 - most deprived
England,E01000094,22.7,11.6,31.6,4,31.6,4,20,4,29.8,4,28.2,4
England,E01000095,22.3,13.5,35.8,5 - most deprived,35.8,5 - most deprived,23.7,5 - most deprived,33.8,4,32.2,5 - most deprived
England,E01000096,34.4,14.3,44.2,5 - most deprived,44.2,5 - most deprived,29.8,5 - most deprived,41.7,5 - most deprived,41.3,5 - most deprived
England,E01000097,28.1,17.8,41.1,5 - most deprived,41.1,5 - most deprived,28.7,5 - most deprived,39.8,5 - most deprived,37.7,5 - most deprived
England,E01000098,25.9,18.5,38.4,5 - most deprived,38.4,5 - most deprived,26.9,5 - most deprived,37.7,5 - most deprived,34.9,5 - most deprived
England,E01000099,24.1,14.9,32.3,4,32.3,4,21.4,4,31.4,4,28.9,4
England,E01000100,25.6,17.9,34.9,5 - most deprived,34.9,5 - most deprived,24.1,5 - most deprived,34.6,5 - most deprived,31.5,5 - most deprived
England,E01000101,28.6,17.6,39.7,5 - most deprived,39.7,5 - most deprived,27.5,5 - most deprived,38.6,5 - most deprived,36.4,5 - most deprived
England,E01000102,28.8,17.6,38.1,5 - most deprived,38.1,5 - most deprived,26.3,5 - most deprived,37.3,5 - most deprived,34.8,5 - most deprived
England,E01000103,30.3,16.6,40.8,5 - most deprived,40.8,5 - most deprived,28,5 - most deprived,39.3,5 - most deprived,37.6,5 - most deprived
England,E01000104,30.3,21,37.7,5 - most deprived,37.7,5 - most deprived,26.9,5 - most deprived,38.1,5 - most deprived,34.5,5 - most deprived
England,E01000105,31.2,21.7,46.9,5 - most deprived,46.9,5 - most deprived,34,5 - most deprived,46,5 - most deprived,43.5,5 - most deprived
England,E01000106,31.7,22,46.2,5 - most deprived,46.2,5 - most deprived,33.6,5 - most deprived,45.5,5 - most deprived,42.9,5 - most deprived
England,E01000107,17.2,14.2,26.9,4,26.9,4,17.5,4,26.4,4,23.2,4
England,E01000108,18.6,11.8,27.9,4,27.9,4,17.5,4,26.6,4,24.3,4
England,E01000109,17.6,12.6,28.5,4,28.5,4,18.2,4,27.3,4,24.8,4
England,E01000110,11.5,9.3,16.3,3,16.3,3,8.3,3,15.8,3,12.4,3
England,E01000111,24.1,12.9,31,4,31,4,19.9,4,29.8,4,27.7,4
England,E01000112,15.5,9.6,23.2,4,23.2,4,13.4,4,21.8,4,19.4,4
England,E01000113,19.6,11.7,26.6,4,26.6,4,16.4,4,25.5,4,23.1,4
England,E01000114,18.5,11.1,26.8,4,26.8,4,16.4,4,25.4,4,23.1,4
England,E01000115,4.5,4.8,4.9,1 - least deprived,4.9,1 - least deprived,-1.3,1 - least deprived,4.6,1 - least deprived,0.8,1 - least deprived
England,E01000116,8.9,6.6,9.7,2,9.7,2,2.6,2,9.4,2,5.8,2
England,E01000117,8.7,7,11.2,2,11.2,2,3.9,2,10.8,2,7.3,2
England,E01000118,9.9,7.8,11.8,2,11.8,2,4.5,2,11.5,2,7.9,2
England,E01000119,9.3,6,12.6,2,12.6,2,4.6,2,11.6,2,8.7,2
England,E01000120,8,6.3,8.8,2,8.8,2,1.9,1 - least deprived,8.5,2,4.9,2
England,E01000121,31.4,21.6,38.8,5 - most deprived,38.8,5 - most deprived,27.8,5 - most deprived,39.3,5 - most deprived,35.6,5 - most deprived
England,E01000122,8.2,6.4,10,2,10,2,2.8,2,9.5,2,6,2
England,E01000123,10.2,6.6,12.2,2,12.2,2,4.4,2,11.5,2,8.3,2
England,E01000124,19.7,13.7,25.5,4,25.5,4,16.1,4,25.2,4,21.9,4
England,E01000125,24.4,12,32.5,4,32.5,4,20.7,4,30.7,4,29.1,4
England,E01000126,28.1,17,35.4,5 - most deprived,35.4,5 - most deprived,24.1,5 - most deprived,34.9,5 - most deprived,32.2,5 - most deprived
England,E01000127,25.4,16.6,30.2,4,30.2,4,20.2,4,30.3,4,26.9,4
England,E01000128,21,11,26.8,4,26.8,4,16.2,4,25.5,4,23.3,4
England,E01000129,25.6,13.5,37.4,5 - most deprived,37.4,5 - most deprived,24.8,5 - most deprived,35.3,5 - most deprived,34,5 - most deprived
England,E01000130,24.5,15.6,33.4,4,33.4,4,22.3,4,32.5,4,29.9,4
England,E01000131,11.4,9.3,21.1,3,21.1,3,12,3,19.8,3,17.1,3
England,E01000132,22,13.2,27.7,4,27.7,4,17.5,4,27,4,24.2,4
England,E01000133,25,20.3,35.6,5 - most deprived,35.6,5 - most deprived,25.3,5 - most deprived,35.8,5 - most deprived,32,5 - most deprived
England,E01000134,22.7,12.6,24.9,4,24.9,4,15.2,4,24.6,4,21.6,4
England,E01000135,8.8,6.6,13.2,2,13.2,2,5.3,2,12.2,2,9.2,2
England,E01000136,4.3,2.9,9.4,2,9.4,2,1.6,1 - least deprived,7.8,1 - least deprived,5.3,2
England,E01000137,26.3,16.2,32.7,4,32.7,4,21.9,4,32.3,4,29.4,4
England,E01000138,21,15.5,30.3,4,30.3,4,20.1,4,29.8,4,26.6,4
England,E01000139,11,5.3,13.5,2,13.5,2,5.1,2,12.3,2,9.7,2
England,E01000140,13.4,7.6,17.7,3,17.7,3,8.7,3,16.5,3,13.9,3
England,E01000141,19,11.1,34.1,5 - most deprived,34.1,4,22,4,31.5,4,30.4,4
England,E01000142,17,10,20.6,3,20.6,3,11.4,3,19.9,3,17,3
England,E01000143,26.8,17.9,34.6,5 - most deprived,34.6,5 - most deprived,23.8,5 - most deprived,34.4,5 - most deprived,31.2,5 - most deprived
England,E01000144,10.7,8.9,20.9,3,20.9,3,11.7,3,19.5,3,16.9,3
England,E01000145,10.4,6,13.8,2,13.8,2,5.5,2,12.7,2,9.9,2
England,E01000146,8.8,7.9,18.1,3,18.1,3,9.4,3,16.7,3,14,3
England,E01000147,8,4.6,12.2,2,12.2,2,4,2,10.8,2,8.2,2
England,E01000148,23.1,15,30.8,4,30.8,4,20.3,4,30.1,4,27.3,4
England,E01000150,14.5,8.2,19.1,3,19.1,3,9.9,3,17.9,3,15.3,3
England,E01000151,35.5,18.7,41.9,5 - most deprived,41.9,5 - most deprived,29.2,5 - most deprived,41.2,5 - most deprived,39,5 - most deprived
England,E01000152,31.6,16.3,38.6,5 - most deprived,38.6,5 - most deprived,26.2,5 - most deprived,37.5,5 - most deprived,35.5,5 - most deprived
England,E01000153,34.1,22,47.9,5 - most deprived,47.9,5 - most deprived,34.7,5 - most deprived,47.1,5 - most deprived,44.7,5 - most deprived
England,E01000154,25.6,16.2,35.6,5 - most deprived,35.6,5 - most deprived,24.2,5 - most deprived,34.6,5 - most deprived,32.2,5 - most deprived
England,E01000155,15.7,9.1,22.7,4,22.7,4,12.9,3,21.3,3,19,4
England,E01000156,9.8,5.6,11.1,2,11.1,2,3.3,2,10.2,2,7.2,2
England,E01000157,13.6,7.9,17.3,3,17.3,3,8.5,3,16.3,3,13.5,3
England,E01000158,14.5,11.5,20,3,20,3,11.6,3,19.7,3,16.2,3
England,E01000159,13.6,10.5,19,3,19,3,10.6,3,18.5,3,15.2,3
England,E01000160,10.6,6,14.2,3,14.2,2,5.8,2,13,2,10.3,2
England,E01000161,11.6,6.4,16.8,3,16.8,3,7.8,3,15.4,3,13,3
England,E01000162,16.3,10.8,22.7,4,22.7,4,13.3,4,21.8,4,19,4
England,E01000163,25.8,19.2,33,4,33,4,23,4,33.4,4,29.6,4
England,E01000164,21.5,13.8,29.8,4,29.8,4,19.3,4,28.9,4,26.2,4
England,E01000165,11.6,6.2,15.7,3,15.7,3,6.9,3,14.4,3,11.9,3
England,E01000166,15.2,10.6,16.2,3,16.2,3,8.4,3,16.3,3,12.5,3
England,E01000167,20.9,16.7,28,4,28,4,18.7,4,28.2,4,24.4,4
England,E01000168,6.9,5.8,6.9,1 - least deprived,6.9,1 - least deprived,0.3,1 - least deprived,6.7,1 - least deprived,2.9,1 - least deprived
England,E01000169,10.1,9.1,13.3,2,13.3,2,6,2,13.1,2,9.3,2
England,E01000170,20.4,14.7,21.8,4,21.8,3,13.5,4,22.5,4,18.3,4
England,E01000171,21.3,12.4,26.3,4,26.3,4,16.3,4,25.6,4,22.8,4
England,E01000172,9.4,5.3,9.4,2,9.4,2,2,2,8.8,2,5.6,2
England,E01000173,10.3,7.2,9.5,2,9.5,2,2.6,2,9.5,2,5.7,2
England,E01000174,15.6,10.9,18.7,3,18.7,3,10.3,3,18.5,3,15,3
England,E01000175,7.8,7.1,9.6,2,9.6,2,2.7,2,9.3,2,5.6,2
England,E01000176,27.6,16.2,30.9,4,30.9,4,20.5,4,30.9,4,27.7,4
England,E01000177,6.9,4,8.6,2,8.6,1 - least deprived,1.2,1 - least deprived,7.6,1 - least deprived,4.7,1 - least deprived
England,E01000178,9.5,6.5,11.1,2,11.1,2,3.6,2,10.6,2,7.2,2
England,E01000179,7.2,5,8.9,2,8.9,2,1.6,1 - least deprived,8.1,1 - least deprived,4.9,2
England,E01000180,14.9,9.4,16.3,3,16.3,3,8.1,3,16,3,12.6,3
England,E01000181,5.9,4.5,8.5,2,8.5,1 - least deprived,1.3,1 - least deprived,7.6,1 - least deprived,4.5,1 - least deprived
England,E01000182,5.6,4.9,9.1,2,9.1,2,1.9,1 - least deprived,8.2,1 - least deprived,5,2
England,E01000183,9.3,5.3,11.1,2,11.1,2,3.3,2,10.2,2,7.2,2
England,E01000184,28,19.2,34.4,5 - most deprived,34.4,5 - most deprived,24,5 - most deprived,34.7,5 - most deprived,31.1,5 - most deprived
England,E01000185,27.5,17.8,33.4,4,33.4,4,22.8,4,33.4,4,30.1,4
England,E01000186,5.3,3.4,4.9,1 - least deprived,4.9,1 - least deprived,-1.8,1 - least deprived,4.2,1 - least deprived,0.9,1 - least deprived
England,E01000187,16.9,7.6,15,3,15,3,6.5,2,14.5,3,11.5,3
England,E01000188,4.5,4.7,8.6,2,8.6,1 - least deprived,1.5,1 - least deprived,7.6,1 - least deprived,4.4,1 - least deprived
England,E01000189,32.7,17.7,37.9,5 - most deprived,37.9,5 - most deprived,26,5 - most deprived,37.4,5 - most deprived,34.9,5 - most deprived
England,E01000190,8.7,6.6,11.8,2,11.8,2,4.2,2,11.1,2,7.8,2
England,E01000191,6.5,5.7,8,1 - least deprived,8,1 - least deprived,1.2,1 - least deprived,7.6,1 - least deprived,4,1 - least deprived
England,E01000192,12.3,7.8,15.6,3,15.6,3,7.3,3,14.8,3,11.8,3
England,E01000193,10.5,9.5,16,3,16,3,8.1,3,15.5,3,12,3
England,E01000194,11.4,7.9,19.1,3,19.1,3,10,3,17.7,3,15.2,3
England,E01000195,24.9,16,31.9,4,31.9,4,21.3,4,31.4,4,28.5,4
England,E01000196,10.6,8.6,14.8,3,14.8,3,7,3,14.3,3,10.9,3
England,E01000197,8.9,6.3,12.9,2,12.9,2,5,2,12,2,9,2
England,E01000198,10.1,5.3,12.7,2,12.7,2,4.5,2,11.5,2,8.8,2
England,E01000199,6.1,4.8,6.9,1 - least deprived,6.9,1 - least deprived,0.1,1 - least deprived,6.4,1 - least deprived,2.9,1 - least deprived
England,E01000200,8.9,6.9,10.6,2,10.6,2,3.4,2,10.2,2,6.7,2
England,E01000201,4.5,4.2,7.7,1 - least deprived,7.7,1 - least deprived,0.6,1 - least deprived,6.8,1 - least deprived,3.6,1 - least deprived
England,E01000202,5.5,4.5,7.6,1 - least deprived,7.6,1 - least deprived,0.6,1 - least deprived,6.8,1 - least deprived,3.6,1 - least deprived
England,E01000203,12.8,9.1,16.7,3,16.7,3,8.5,3,16.2,3,12.9,3
England,E01000204,7.3,5.9,10.9,2,10.9,2,3.4,2,10.1,2,6.9,2
England,E01000205,5.9,4.1,7.7,1 - least deprived,7.7,1 - least deprived,0.6,1 - least deprived,6.8,1 - least deprived,3.7,1 - least deprived
England,E01000206,2.8,1.9,9.4,2,9.4,2,1.4,1 - least deprived,7.4,1 - least deprived,5.2,2
England,E01000207,5.3,3.6,6.4,1 - least deprived,6.4,1 - least deprived,-0.5,1 - least deprived,5.6,1 - least deprived,2.4,1 - least deprived
England,E01000208,4.5,2.2,8.1,1 - least deprived,8.1,1 - least deprived,0.4,1 - least deprived,6.5,1 - least deprived,4,1 - least deprived
England,E01000209,5.7,3.5,7.9,1 - least deprived,7.9,1 - least deprived,0.6,1 - least deprived,6.8,1 - least deprived,3.9,1 - least deprived
England,E01000210,6.2,3.7,8.4,2,8.4,1 - least deprived,1,1 - least deprived,7.3,1 - least deprived,4.4,1 - least deprived
England,E01000211,13.2,9.1,17.4,3,17.4,3,9,3,16.7,3,13.6,3
England,E01000212,4.6,5.1,8.8,2,8.8,1 - least deprived,1.7,1 - least deprived,7.9,1 - least deprived,4.6,1 - least deprived
England,E01000213,2.5,1.6,5.8,1 - least deprived,5.8,1 - least deprived,-1.4,1 - least deprived,4.3,1 - least deprived,1.6,1 - least deprived
England,E01000214,4.3,4.2,11.8,2,11.8,2,3.8,2,10.1,2,7.6,2
England,E01000215,10.1,7.4,12.9,2,12.9,2,5.2,2,12.3,2,9,2
England,E01000216,8,5.3,10.9,2,10.9,2,3.2,2,9.9,2,6.9,2
England,E01000217,6.2,6.6,11.8,2,11.8,2,4.4,2,11,2,7.7,2
England,E01000218,8.5,7.9,13.4,2,13.4,2,5.8,2,12.8,2,9.4,2
England,E01000219,11.6,9.2,16.9,3,16.9,3,8.7,3,16.3,3,13,3
England,E01000220,12,8.9,16.2,3,16.2,3,8,3,15.6,3,12.3,3
England,E01000221,31.6,20.2,44,5 - most deprived,44,5 - most deprived,31.4,5 - most deprived,43.1,5 - most deprived,40.7,5 - most deprived
England,E01000222,19.5,13.1,29.8,4,29.8,4,19.2,4,28.6,4,26.1,4
England,E01000223,26.4,17.4,34.4,5 - most deprived,34.4,4,23.5,4,34,5 - most deprived,31,5 - most deprived
England,E01000224,17.4,11.9,20.2,3,20.2,3,11.6,3,20.1,3,16.6,3
England,E01000225,6.6,5.3,11.3,2,11.3,2,3.6,2,10.2,2,7.3,2
England,E01000226,25.2,14.7,30.5,4,30.5,4,19.9,4,29.9,4,27.1,4
England,E01000227,10.5,7.1,11.7,2,11.7,2,4.2,2,11.3,2,7.9,2
England,E01000228,9.7,7,13.4,2,13.4,2,5.5,2,12.6,2,9.4,2
England,E01000229,17.9,12.6,24.9,4,24.9,4,15.4,4,24.2,4,21.2,4
England,E01000230,8.9,6.3,10,2,10,2,2.7,2,9.5,2,6.1,2
England,E01000231,13.8,6.8,16.1,3,16.1,3,7.3,3,15,3,12.4,3
England,E01000232,12.8,10,15.7,3,15.7,3,7.9,3,15.6,3,11.9,3
England,E01000233,10.2,6.1,11,2,11,2,3.4,2,10.3,2,7.1,2
England,E01000234,10.6,6.5,11.5,2,11.5,2,3.9,2,10.9,2,7.7,2
England,E01000235,21.5,14,26.7,4,26.7,4,16.9,4,26.4,4,23.2,4
England,E01000236,10.9,5.7,12.4,2,12.4,2,4.3,2,11.4,2,8.6,2
England,E01000237,7,4.5,12.1,2,12.1,2,4,2,10.6,2,8.1,2
England,E01000238,8.6,7.9,14.1,3,14.1,2,6.4,2,13.4,2,10.1,2
England,E01000239,13.1,8.5,20.8,3,20.8,3,11.4,3,19.4,3,17,3
England,E01000240,12.5,8.1,20.2,3,20.2,3,10.8,3,18.7,3,16.3,3
England,E01000241,8.3,4.8,12,2,12,2,3.9,2,10.7,2,8,2
England,E01000242,13.8,9.7,21.5,4,21.5,3,12.2,3,20.3,3,17.6,3
England,E01000243,9.6,6.5,18.2,3,18.2,3,9,3,16.4,3,14.2,3
England,E01000244,9.8,5.1,16,3,16,3,7,3,14.2,3,12.1,3
England,E01000245,19.7,13.6,30.9,4,30.9,4,20.2,4,29.6,4,27.2,4
England,E01000246,6.6,5.7,10.5,2,10.5,2,3.1,2,9.7,2,6.5,2
England,E01000247,8,7.8,9.8,2,9.8,2,3.1,2,9.8,2,5.8,2
England,E01000248,5.3,4.8,9.6,2,9.6,2,2.2,2,8.5,2,5.5,2
England,E01000249,4.1,5.4,6.1,1 - least deprived,6.1,1 - least deprived,-0.2,1 - least deprived,5.8,1 - least deprived,2,1 - least deprived
England,E01000250,13,8.6,15.6,3,15.6,3,7.4,3,15.1,3,11.8,3
England,E01000251,16,13.4,20.5,3,20.5,3,12.4,3,20.8,3,16.7,3
England,E01000252,12.3,10.5,16.1,3,16.1,3,8.4,3,16,3,12.2,3
England,E01000253,4.5,3.9,10.5,2,10.5,2,2.7,2,9,2,6.4,2
England,E01000254,4.3,3.5,9.2,2,9.2,2,1.6,1 - least deprived,7.7,1 - least deprived,5,2
England,E01000255,16.6,11.8,21,3,21,3,12.3,3,20.7,3,17.3,3
England,E01000256,9,5.3,13.9,2,13.9,2,5.4,2,12.5,2,9.9,2
England,E01000257,22.7,14.4,29.7,4,29.7,4,19.3,4,29,4,26.2,4
England,E01000258,6.8,5.3,12.5,2,12.5,2,4.5,2,11.2,2,8.4,2
