ctry,area_code,income,employ,original_imd_score,original_imd_quintile,uk_imd_england_score,uk_imd_england_quintile,uk_imd_ni_score,uk_imd_ni_quintile,uk_imd_scotland_score,uk_imd_scotland_quintile,uk_imd_wales_score,uk_imd_wales_quintile
England,E01015060,17.7,16.2,29.8,4,29.8,4,20.2,4,29.4,4,26,4
England,E01015061,18.1,14.7,29.1,4,29.1,4,19.2,4,28.4,4,25.3,4
England,E01015062,8.1,7.6,21.4,3,21.4,3,11.9,3,19.3,3,17.2,3
England,E01015063,21,14.7,30.4,4,30.4,4,20,4,29.6,4,26.8,4
England,E01015064,4.1,5.5,7.1,1 - least deprived,7.1,1 - least deprived,0.6,1 - least deprived,6.6,1 - least deprived,2.9,1 - least deprived
England,E01015065,9.5,7.8,13.5,2,13.5,2,5.8,2,12.9,2,9.5,2
England,E01015066,6.9,5.9,12.4,2,12.4,2,4.6,2,11.3,2,8.3,2
England,E01015067,4.2,8.4,7.6,1 - least deprived,7.6,1 - least deprived,1.8,1 - least deprived,7.9,1 - least deprived,3.4,1 - least deprived
England,E01015068,5,8.1,10.4,2,10.4,2,3.7,2,10.2,2,6.1,2
England,E01015069,14.9,13.4,26.3,4,26.3,4,16.9,4,25.5,4,22.4,4
England,E01015070,12.4,11.7,20.6,3,20.6,3,12.1,3,20.1,3,16.6,3
England,E01015071,14,11.5,22.2,4,22.2,4,13.2,4,21.5,3,18.3,4
England,E01015072,27.2,21.6,40.1,5 - most deprived,40.1,5 - most deprived,29,5 - most deprived,40.1,5 - most deprived,36.6,5 - most deprived
England,E01015073,26.5,22.6,41.7,5 - most deprived,41.7,5 - most deprived,30.5,5 - most deprived,41.7,5 - most deprived,38.1,5 - most deprived
England,E01015074,27.9,24.9,42.1,5 - most deprived,42.1,5 - most deprived,31.4,5 - most deprived,42.8,5 - most deprived,38.5,5 - most deprived
England,E01015075,29.6,23.3,44.6,5 - most deprived,44.6,5 - most deprived,32.8,5 - most deprived,44.5,5 - most deprived,41.2,5 - most deprived
England,E01015076,10,10.1,17,3,17,3,9.1,3,16.5,3,13,3
England,E01015077,15.7,12.3,23.4,4,23.4,4,14.3,4,22.8,4,19.6,4
England,E01015078,39.9,31.3,60.2,5 - most deprived,60.2,5 - most deprived,46.4,5 - most deprived,60.3,5 - most deprived,57,5 - most deprived
England,E01015079,10.1,10.6,16.4,3,16.4,3,8.7,3,16.2,3,12.3,3
England,E01015080,42.8,25.9,62.8,5 - most deprived,62.8,5 - most deprived,46.7,5 - most deprived,61.1,5 - most deprived,59.9,5 - most deprived
England,E01015081,26.1,20.7,35.4,5 - most deprived,35.4,5 - most deprived,25.3,5 - most deprived,35.9,5 - most deprived,32,5 - most deprived
England,E01015082,26.4,26,41.9,5 - most deprived,41.9,5 - most deprived,31.7,5 - most deprived,42.9,5 - most deprived,38.3,5 - most deprived
England,E01015083,29.7,25.7,48.2,5 - most deprived,48.2,5 - most deprived,36.2,5 - most deprived,48.1,5 - most deprived,44.6,5 - most deprived
England,E01015084,17.3,18.8,30.6,4,30.6,4,21.5,4,30.8,4,26.6,4
England,E01015085,15.9,14.8,27.3,4,27.3,4,17.9,4,26.8,4,23.4,4
England,E01015086,27.9,22.8,42.7,5 - most deprived,42.7,5 - most deprived,31.3,5 - most deprived,42.6,5 - most deprived,39.2,5 - most deprived
England,E01015087,31.2,24.2,47.8,5 - most deprived,47.8,5 - most deprived,35.5,5 - most deprived,47.5,5 - most deprived,44.5,5 - most deprived
England,E01015088,38,27.7,53.2,5 - most deprived,53.2,5 - most deprived,40.1,5 - most deprived,53.4,5 - most deprived,50.1,5 - most deprived
